Frame,alignment,cohesion,collisionCount,neighbourhoodSize,separation,visibleSize,polerization
138,104.451484,12141.543416,380.000000,11.840000,2.143979,8.760000,0.133750
139,102.663467,12134.022996,381.000000,11.860000,2.212064,8.760000,0.083275
140,105.211420,12130.136786,382.000000,11.860000,2.039648,8.800000,0.100497
141,101.460788,12125.691982,383.000000,11.960000,1.987343,8.800000,0.169449
142,107.215006,12117.007697,383.000000,12.120000,1.992273,8.980000,0.122092
143,106.259760,12115.104583,385.000000,12.220000,1.889765,8.840000,0.072399
144,110.404757,12108.541816,384.000000,12.300000,1.861933,9.000000,0.156388
145,102.953405,12108.988547,390.000000,12.320000,1.800476,9.040000,0.014836
146,110.243917,12099.342395,395.000000,12.320000,1.913173,9.060000,0.039840
147,104.151034,12099.742839,403.000000,12.320000,1.702658,9.160000,0.082681
148,107.378823,12092.612147,420.000000,12.320000,1.869170,9.380000,0.014676
149,105.056689,12092.464528,431.000000,12.320000,1.670405,9.500000,0.068995
150,107.039523,12084.962160,451.000000,12.320000,1.739494,9.700000,0.062439
151,108.122903,12083.873831,457.000000,12.320000,1.651185,9.780000,0.158346
152,100.144012,12077.095883,462.000000,12.320000,1.685665,9.780000,0.131409
153,110.007065,12079.686055,462.000000,12.320000,1.614815,9.820000,0.144429
154,98.784569,12070.808484,462.000000,12.320000,1.567038,9.740000,0.143158
155,109.570033,12077.386008,462.000000,12.320000,1.617712,9.820000,0.155067
156,98.665185,12065.646976,462.000000,12.320000,1.549359,9.720000,0.146416
157,108.691434,12075.007713,462.000000,12.320000,1.589987,9.860000,0.141600
158,98.557987,12063.197011,462.000000,12.320000,1.509637,9.760000,0.120337
159,103.422842,12073.602942,462.000000,12.320000,1.603980,9.820000,0.134334
160,102.558663,12063.073996,462.000000,12.320000,1.529666,9.780000,0.102887
161,101.826244,12070.575039,462.000000,12.320000,1.576870,9.840000,0.107635
162,103.752808,12064.220416,462.000000,12.320000,1.598711,9.980000,0.066841
163,96.687728,12062.880726,462.000000,12.320000,1.643249,9.960000,0.198054
164,110.003027,12065.386076,462.000000,12.320000,1.607874,10.020000,0.163749
165,96.430951,12058.569665,462.000000,12.320000,1.671382,9.940000,0.167492
166,109.395414,12066.066145,463.000000,12.320000,1.617528,10.000000,0.126163
167,100.638497,12054.593020,465.000000,12.320000,1.586585,9.980000,0.043012
168,106.113269,12064.826825,466.000000,12.320000,1.561279,10.140000,0.073122
169,104.348168,12050.103112,468.000000,12.320000,1.454210,10.060000,0.100862
170,101.334475,12059.461496,468.000000,12.320000,1.451213,10.120000,0.097089
171,107.953254,12042.293708,468.000000,12.320000,1.378044,10.020000,0.158075
172,101.138254,12048.893971,468.000000,12.320000,1.430657,10.040000,0.148461
173,112.218168,12032.319541,468.000000,12.320000,1.296246,9.980000,0.211645
174,102.246906,12036.256606,468.000000,12.320000,1.484472,9.980000,0.158059
175,111.688591,12022.879428,468.000000,12.320000,1.234231,9.940000,0.184333
176,103.004036,12023.896402,468.000000,12.320000,1.429612,9.960000,0.103835
177,106.578554,12015.037537,468.000000,12.320000,1.081534,9.880000,0.130531
178,103.505134,12016.998217,468.000000,12.320000,1.434017,9.920000,0.072971
179,104.187410,12010.145575,468.000000,12.320000,1.046435,9.920000,0.095857
180,103.459228,12012.765712,468.000000,12.320000,1.351505,9.960000,0.081815
181,102.973038,12008.062423,468.000000,12.320000,1.138171,9.900000,0.116019
182,104.879303,12009.368104,468.000000,12.320000,1.389540,10.000000,0.138493
183,103.495229,12006.310417,468.000000,12.320000,1.169882,9.900000,0.218263
184,105.172208,12007.435194,468.000000,12.320000,1.348619,9.980000,0.226678
185,104.223731,12005.410826,468.000000,12.320000,1.187870,9.900000,0.267998
186,101.092201,12003.999350,468.000000,12.320000,1.195435,9.960000,0.238493
187,110.285600,12004.653898,468.000000,12.320000,1.187566,9.980000,0.279573
188,96.845577,12000.073148,468.000000,12.320000,1.160889,9.960000,0.266035
189,111.773818,12004.467622,468.000000,12.320000,1.196186,10.100000,0.278396
190,95.274740,11997.309998,468.000000,12.320000,1.210741,9.900000,0.269968
191,110.368548,12005.788761,468.000000,12.320000,1.176192,10.040000,0.243352
192,95.313645,11996.406379,468.000000,12.320000,1.217850,9.860000,0.243434
193,110.653426,12007.085899,468.000000,12.320000,1.092839,10.140000,0.206999
194,97.726392,11996.390185,468.000000,12.320000,1.226172,9.880000,0.221229
195,108.361860,12003.213801,468.000000,12.320000,1.031831,10.120000,0.179493
196,101.328147,11990.876506,468.000000,12.320000,1.135234,9.820000,0.175650
197,104.800299,11998.275229,468.000000,12.320000,1.030040,10.140000,0.176181
198,102.693267,11989.138055,468.000000,12.320000,1.089332,9.840000,0.138660
199,105.695113,11995.001242,468.000000,12.320000,1.065680,10.320000,0.152820
200,104.148543,11988.084199,468.000000,12.320000,1.134782,9.880000,0.092846
201,108.848326,11991.503151,468.000000,12.320000,1.112264,10.460000,0.125344
202,100.516862,11986.603853,468.000000,12.320000,1.074409,9.900000,0.083262
203,111.920164,11988.750918,468.000000,12.320000,1.084940,10.640000,0.120072
204,98.809823,11983.087239,468.000000,12.320000,1.062137,10.040000,0.114161
205,114.169702,11982.947973,468.000000,12.320000,1.116264,10.580000,0.167129
206,95.169591,11979.879609,468.000000,12.320000,1.117318,9.960000,0.129328
207,111.894481,11981.228148,468.000000,12.320000,1.116443,10.280000,0.128960
208,94.320342,11979.662402,469.000000,12.320000,1.142024,9.960000,0.109684
209,112.228474,11980.009107,469.000000,12.320000,1.096268,9.960000,0.095608
210,96.086487,11977.751461,470.000000,12.320000,1.169718,9.940000,0.076157
211,108.997657,11974.497807,471.000000,12.320000,1.059370,10.020000,0.042110
212,99.880069,11975.612222,470.000000,12.320000,1.142209,9.900000,0.079696
213,105.432114,11972.290059,470.000000,12.320000,1.083801,10.000000,0.103915
214,103.692164,11976.266651,470.000000,12.320000,1.098772,9.900000,0.121659
215,100.974894,11972.211647,469.000000,12.320000,1.103614,10.120000,0.151723
216,105.396123,11977.294086,469.000000,12.320000,1.078169,9.880000,0.145361
217,99.524169,11971.766356,469.000000,12.320000,1.132432,10.120000,0.158575
218,106.187142,11975.476156,469.000000,12.320000,1.017438,9.900000,0.160831
219,101.591395,11967.892929,468.000000,12.320000,1.073797,10.160000,0.183059
220,105.869579,11970.443097,468.000000,12.320000,1.005516,9.880000,0.191532
221,102.976643,11965.114931,469.000000,12.320000,1.008959,10.160000,0.206318
222,105.102172,11965.461120,470.000000,12.320000,1.019475,9.920000,0.192939
223,102.888226,11961.427571,470.000000,12.320000,0.993334,10.300000,0.206644
224,107.134303,11959.309510,475.000000,12.320000,1.119529,10.160000,0.176545
225,103.843760,11954.157812,474.000000,12.320000,0.964505,10.520000,0.202503
226,108.050098,11951.790371,476.000000,12.320000,1.136865,10.420000,0.158073
227,102.626738,11945.635274,476.000000,12.320000,0.958401,10.840000,0.191196
228,108.072462,11945.389184,479.000000,12.320000,1.015532,10.700000,0.150222
229,100.650042,11938.379770,476.000000,12.320000,0.911992,10.680000,0.204707
230,109.329055,11941.973132,486.000000,12.320000,0.906759,10.800000,0.180510
231,98.880539,11934.106890,497.000000,12.320000,0.876244,11.020000,0.241964
232,107.955953,11939.826412,508.000000,12.320000,0.877697,11.100000,0.218849
233,98.369936,11930.426430,532.000000,12.320000,0.960711,11.460000,0.252542
234,108.647843,11935.808722,553.000000,12.320000,0.845301,11.720000,0.237280
235,97.104317,11926.580137,573.000000,12.320000,0.982894,11.880000,0.260301
236,107.091268,11930.407815,596.000000,12.320000,0.898963,12.200000,0.238797
237,97.196799,11922.953097,607.000000,12.320000,0.925481,12.260000,0.239190
238,105.767448,11924.983355,614.000000,12.320000,0.865829,12.320000,0.212632
239,97.394962,11920.290297,616.000000,12.320000,0.902078,12.320000,0.198489
240,106.165051,11921.063714,616.000000,12.320000,0.880898,12.320000,0.175945
241,98.198466,11917.947125,616.000000,12.320000,0.874900,12.320000,0.159778
242,105.933820,11918.385551,616.000000,12.320000,0.926046,12.320000,0.145753
243,97.427108,11915.003659,616.000000,12.320000,0.884716,12.320000,0.129409
244,107.054443,11916.801766,616.000000,12.320000,0.899341,12.320000,0.119783
245,96.946497,11911.989130,616.000000,12.320000,0.930106,12.320000,0.110778
246,107.538061,11916.339431,616.000000,12.320000,0.851969,12.320000,0.114031
247,97.125735,11909.471757,616.000000,12.320000,0.874513,12.320000,0.099643
248,107.949511,11915.644344,616.000000,12.320000,0.810646,12.320000,0.097553
249,99.122630,11907.607601,616.000000,12.320000,0.901958,12.320000,0.089505
250,106.936506,11914.257637,616.000000,12.320000,0.779000,12.320000,0.083359
251,98.604780,11906.851923,616.000000,12.320000,0.897855,12.320000,0.086069
252,105.687279,11911.861057,616.000000,12.320000,0.810644,12.320000,0.073642
253,100.262228,11907.557600,616.000000,12.320000,0.865011,12.320000,0.076667
254,103.967491,11908.861646,616.000000,12.320000,0.804010,12.320000,0.061907
255,101.576478,11909.027143,616.000000,12.320000,0.828505,12.320000,0.062882
256,103.294530,11906.347876,616.000000,12.320000,0.771972,12.320000,0.050518
257,102.137890,11910.167598,616.000000,12.320000,0.762449,12.320000,0.059587
258,102.499417,11904.384890,616.000000,12.320000,0.830798,12.320000,0.045518
259,101.321263,11910.529379,616.000000,12.320000,0.768128,12.320000,0.053478
260,101.780728,11903.509416,616.000000,12.320000,0.827889,12.320000,0.051984
261,102.134900,11909.990813,616.000000,12.320000,0.825714,12.320000,0.065177
262,101.610527,11904.249060,616.000000,12.320000,0.816725,12.320000,0.071372
263,103.144275,11908.837587,616.000000,12.320000,0.846229,12.320000,0.092738
264,100.989259,11905.146445,616.000000,12.320000,0.781093,12.320000,0.097191
265,105.066228,11907.493756,616.000000,12.320000,0.827796,12.320000,0.115858
266,98.879909,11905.861005,616.000000,12.320000,0.751252,12.320000,0.119623
267,106.013444,11906.719405,616.000000,12.320000,0.815802,12.320000,0.130778
268,96.845458,11906.085080,616.000000,12.320000,0.798502,12.320000,0.131904
269,107.588965,11907.018185,616.000000,12.320000,0.793783,12.320000,0.126952
270,95.859083,11905.154211,616.000000,12.320000,0.817387,12.320000,0.113506
271,108.129978,11908.472401,616.000000,12.320000,0.804779,12.320000,0.098150
272,96.677708,11903.859907,616.000000,12.320000,0.854759,12.320000,0.079940
273,107.644938,11909.687128,616.000000,12.320000,0.741404,12.320000,0.065616
274,97.906902,11902.427396,616.000000,12.320000,0.842549,12.320000,0.054953
275,105.725646,11910.118691,616.000000,12.320000,0.742317,12.320000,0.063155
276,99.370486,11902.244685,616.000000,12.320000,0.842993,12.320000,0.069240
277,102.659140,11909.657159,616.000000,12.320000,0.774635,12.320000,0.086452
